,country_code,gni_index,Cluster
8192,ABW,13519.979675857949,2
8196,AGO,276.90721697595734,0
8197,ALB,190.04237096349195,0
8201,ARG,6688.487680734916,0
8202,ARM,297.52534852573973,0
8204,ATG,7262.94583607564,0
8205,AUS,17906.244832318116,2
8206,AUT,24941.688904430623,1
8208,BDI,186.20300465026014,0
8209,BEL,23529.647328006475,1
8210,BEN,299.5481365193904,0
8211,BFA,348.4603998119193,0
8212,BGD,291.88480565752235,0
8213,BGR,1192.1051159996796,0
8214,BHR,8626.696991453215,0
8215,BHS,10732.942515772787,2
8217,BLR,900.5067307984069,0
8218,BLZ,3566.36224176475,0
8220,BOL,736.5242322775316,0
8221,BRA,2458.116494942019,0
8222,BRB,7412.033265183773,0
8223,BRN,15080.719714742187,2
8224,BTN,388.159839518727,0
8225,BWA,2997.722172674708,0
8226,CAF,466.76310428143734,0
8227,CAN,20199.31747758476,2
8231,CHL,3194.653648477002,0
8232,CHN,423.5173110749646,0
8233,CMR,938.9233997642327,0
8235,COG,1013.6721150593952,0
8236,COL,1654.0892490338597,0
8237,COM,1018.2505894748394,0
8238,CPV,938.4607388263822,0
8239,CRI,2518.5836842141725,0
8241,CUB,2017.942322695828,0
8243,CYP,8472.513692663448,0
8244,CZE,3352.038912551554,0
8245,DEU,26517.271293979054,1
8246,DJI,799.1769665486789,0
8247,DMA,3281.3618688719966,0
8248,DNK,28646.075625175465,1
8249,DOM,1503.1288455894035,0
8250,DZA,1713.8709991736425,0
8256,ECU,1571.3228009235534,0
8257,EGY,701.28168398262,0
8259,ERI,248.34130943676823,0
8260,ESP,15918.813699282948,2
8262,ETH,200.51732197948485,0
8265,FIN,21418.20523156496,2
8266,FJI,1883.9175413293406,0
8267,FRA,23907.106355982123,1
8270,GAB,4688.797606712016,0
8271,GBR,21242.268033285574,2
8272,GEO,760.2339181286548,0
8273,GHA,388.50166104072866,0
8275,GIN,460.1186926652789,0
8276,GMB,617.1811179461162,0
8277,GNB,208.048312694503,0
8278,GNQ,298.7756644018367,0
8280,GRD,3016.858743145362,0
8281,GRL,17420.707438428082,2
8282,GTM,1079.1830522378193,0
8284,GUY,353.3719431290958,0
8286,HKG,17357.41568377938,2
8287,HND,861.6961778428864,0
8290,HTI,311.5873407487465,0
8296,IDN,646.459060020738,0
8299,IND,312.7006314015111,0
8300,IRL,14485.05059545339,2
8302,IRQ,29.779628872901114,0
8303,ISL,26840.61369964627,1
8304,ISR,15050.694479784135,2
8305,ITA,22867.23636367429,1
8306,JAM,1331.4688517436928,0
8307,JOR,1283.409333335966,0
8308,JPN,32193.584365142106,1
8310,KEN,318.57225698654776,0
8311,KGZ,513.0359436594764,0
8313,KIR,992.4001846116167,0
8314,KNA,5658.878927827583,0
8315,KOR,8115.880811039401,0
8316,KWT,15488.112158297596,2
8318,LAO,247.26611146838658,0
8319,LBN,1624.9337320502957,0
8322,LCA,4178.250795529855,0
8326,LIE,54200.95586740658,3
8327,LKA,549.2867482576358,0
8330,LSO,652.0140807828151,0
8333,LUX,39544.31655842065,1
8335,MAC,13312.19837021923,2
8337,MAR,1290.8758462278356,0
8340,MDG,282.6429480866242,0
8341,MDV,1040.7315413155131,0
8343,MEX,4159.898997449295,0
8346,MKD,1171.8644148139224,0
8347,MLI,303.2463630416222,0
8348,MLT,8613.488132756476,0
8349,MMR,58.31986345168974,0
8352,MNG,577.1139398763266,0
8354,MOZ,181.01757750651865,0
8355,MRT,976.8029530634487,0
8356,MUS,2983.3373529496125,0
8357,MWI,258.89561036764474,0
8358,MYS,3023.951909484534,0
8360,NAM,2370.6444287120476,0
8361,NCL,16261.955189326927,2
8362,NER,382.9516648995307,0
8364,NIC,293.05389535351236,0
8365,NLD,23249.405801591725,1
8366,NOR,29883.505173474812,1
8367,NPL,164.93076864304442,0
8369,NZL,11030.164457980125,2
8371,OMN,6072.694318089017,0
8373,PAK,389.0370350140298,0
8374,PAN,2991.4623967754237,0
8375,PER,1514.1594733199465,0
8376,PHL,945.2277073400835,0
8378,PNG,961.94357587966,0
8379,POL,2350.4386768441505,0
8381,PRI,6609.561427388781,0
8383,PRT,10878.985241592241,2
8388,PYF,21001.98424064617,2
8389,QAT,16696.526632845438,2
8390,ROU,1098.1504910032124,0
8391,RUS,3068.5017939927216,0
8392,RWA,263.64338334965055,0
8394,SAU,8021.709613460257,0
8395,SDN,284.2651569179715,0
8396,SEN,957.7033462083544,0
8397,SGP,16145.874375124718,2
8398,SLB,753.4705058234847,0
8399,SLE,140.71804769785612,0
8400,SLV,1027.6544674315037,0
8408,SUR,962.2084869807869,0
8411,SWE,31386.79915808092,1
8412,SWZ,1478.6923560400685,0
8414,SYC,6389.157788509494,0
8417,TCD,299.01624860521304,0
8418,TGO,405.6026170467624,0
8419,THA,1920.3871416117054,0
8420,TJK,337.54887387114013,0
8423,TON,1396.0930961866684,0
8425,TTO,3882.8868593976604,0
8426,TUN,1677.8637153793295,0
8428,TZA,160.050683711497,0
8429,UGA,147.34936562525326,0
8430,UKR,1415.7769323597392,0
8432,URY,4010.112369464159,0
8433,USA,25089.831354234077,1
8434,UZB,600.0327307014932,0
8435,VCT,2381.915044648436,0
8436,VEN,2834.2614988176542,0
8439,VNM,136.55500742795826,0
8440,VUT,1129.661977912475,0
8444,YEM,1215.3533236072406,0
8445,ZAF,3448.4652701411947,0
8446,ZMB,355.0206567524994,0
8447,ZWE,464.738245102829,0
