anho,SP.ADO.TFRT,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.ZS,SL.TLF.0714.WK.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.ACTI.1524.FE.ZS,SL.TLF.ACTI.1524.MA.ZS,SL.TLF.ACTI.1524.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.ACTI.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.ACTI.MA.ZS,SL.TLF.ACTI.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SE.ADT.1524.LT.FM.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SG.GEN.PARL.ZS,SM.POP.REFG,SM.POP.REFG.OR,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS
1990,1,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,266,8,8,208,108,108,266,108,129,89,120,115,140,266,266,266,266
1991,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,203,108,108,266,102,120,72,119,114,140,31,31,31,31
1992,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,217,108,108,266,89,106,73,120,115,134,31,31,31,31
1993,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,9,9,221,108,108,266,80,98,74,110,107,134,31,31,31,31
1994,1,265,265,265,265,265,265,265,265,265,31,31,31,31,31,31,31,31,8,8,216,108,108,266,77,61,74,118,114,135,31,31,31,31
1995,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,7,7,221,108,108,266,74,56,75,125,122,137,31,31,31,31
1996,1,264,264,264,265,265,264,264,265,265,31,31,31,31,31,31,31,31,8,8,217,108,108,266,74,54,86,130,128,136,31,31,31,31
1997,1,266,266,266,266,266,266,266,266,266,31,31,31,31,31,31,31,31,8,8,223,108,108,67,71,59,98,148,144,151,31,31,31,31
1998,1,265,265,265,265,265,265,265,265,265,31,31,31,31,31,31,31,31,8,8,221,108,108,60,74,53,80,132,130,143,31,31,31,31
1999,1,256,256,256,257,257,256,256,257,257,31,31,31,31,31,31,31,31,8,8,219,108,108,76,70,50,51,77,74,108,31,31,31,31
