anho,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.AIR.DPRT,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.ZS,ER.H2O.FWTL.K3,IS.SHP.GOOD.TU,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,IT.NET.BBND,IT.NET.BBND.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,TX.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN,BX.GSR.CCIS.ZS,BX.GSR.CCIS.CD,IT.NET.USER.ZS,IP.IDS.NRCT,IP.IDS.RSCT,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IS.SHP.GCNW.XQ,IT.CEL.SETS,IT.CEL.SETS.P2,IE.PPN.ICTI.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IS.RRS.TOTL.KM,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,ER.H2O.INTR.PC,ER.H2O.INTR.K3,IT.NET.SECR,IT.NET.SECR.P6,IP.TMK.NRCT,IP.TMK.RSCT
1985,84,75,75,224,222,226,205,205,266,113,106,109,109,109,109,109,266,266,18,18,266,266,246,248,259,239,239,265,265,264,266,266,20,23,265,265,264,266,266,266,266,65,67,266,266,266,266
1986,86,75,75,223,221,225,204,204,266,113,106,109,109,109,109,109,266,266,20,20,266,266,238,240,259,238,239,266,261,266,266,266,20,22,266,261,266,266,266,266,266,65,67,266,266,266,266
1987,86,73,73,196,194,198,176,176,266,113,106,109,109,109,109,109,266,266,19,19,266,266,237,239,259,240,239,265,265,264,265,266,21,24,266,265,264,265,266,266,266,65,67,266,266,266,266
1988,88,73,73,194,192,197,175,175,266,113,106,109,109,109,109,109,266,266,19,19,266,266,234,236,259,237,236,264,265,264,266,266,20,23,265,265,264,266,266,266,266,65,67,266,266,266,266
1989,88,73,73,191,190,196,175,174,266,113,106,109,109,109,109,109,266,266,19,19,266,266,232,234,258,237,237,259,261,262,264,266,21,25,264,261,262,264,266,266,266,65,67,266,266,266,266
1990,86,73,73,174,173,178,163,160,266,90,87,88,88,88,88,88,266,266,17,17,266,266,223,227,10,236,236,260,262,253,266,266,11,11,263,263,252,266,266,266,266,64,67,266,266,266,266
1991,85,69,70,167,165,170,157,154,266,89,86,87,87,87,87,87,266,266,17,17,266,266,220,226,10,237,235,262,261,258,265,266,20,22,264,261,257,265,266,266,266,64,67,266,266,266,266
1992,80,60,66,157,152,156,145,142,266,88,85,86,86,86,86,86,266,266,12,12,266,266,210,216,10,235,233,260,248,255,265,266,20,20,264,248,254,265,266,266,266,42,43,266,266,266,266
1993,69,56,58,147,143,147,137,133,266,88,85,86,86,86,86,86,266,266,12,12,266,266,190,197,10,234,233,258,247,257,263,266,20,20,262,246,256,263,266,266,266,38,39,266,266,266,266
1994,69,54,53,139,136,139,131,127,266,88,84,86,86,86,86,86,266,266,12,12,266,266,164,177,10,230,230,248,229,239,257,266,20,20,263,236,240,257,266,266,266,38,39,266,266,266,266
