anho,IS.AIR.GOOD.MT.K1,IS.AIR.PSGR,IS.AIR.DPRT,ER.H2O.FWAG.ZS,ER.H2O.FWDM.ZS,ER.H2O.FWIN.ZS,ER.H2O.FWTL.ZS,ER.H2O.FWTL.K3,IS.SHP.GOOD.TU,EG.USE.ELEC.KH.PC,EG.ELC.LOSS.ZS,EG.ELC.COAL.ZS,EG.ELC.HYRO.ZS,EG.ELC.NGAS.ZS,EG.ELC.NUCL.ZS,EG.ELC.PETR.ZS,IT.NET.BBND,IT.NET.BBND.P2,IT.MLT.MAIN,IT.MLT.MAIN.P2,TX.VAL.ICTG.ZS.UN,TM.VAL.ICTG.ZS.UN,BX.GSR.CCIS.ZS,BX.GSR.CCIS.CD,IT.NET.USER.ZS,IP.IDS.NRCT,IP.IDS.RSCT,IE.PPI.ICTI.CD,IE.PPI.ENGY.CD,IE.PPI.TRAN.CD,IE.PPI.WATR.CD,IS.SHP.GCNW.XQ,IT.CEL.SETS,IT.CEL.SETS.P2,IE.PPN.ICTI.CD,IE.PPN.ENGY.CD,IE.PPN.TRAN.CD,IE.PPN.WATR.CD,IS.RRS.TOTL.KM,IS.RRS.GOOD.MT.K6,IS.RRS.PASG.KM,ER.H2O.INTR.PC,ER.H2O.INTR.K3,IT.NET.SECR,IT.NET.SECR.P6,IP.TMK.NRCT,IP.TMK.RSCT
1985,79,71,71,178,176,180,157,157,218,104,105,104,104,104,104,104,218,218,18,18,218,218,201,201,211,197,197,217,217,216,218,218,20,23,217,217,216,218,218,218,218,62,61,218,218,218,218
1986,81,71,71,177,175,179,156,156,218,104,105,104,104,104,104,104,218,218,20,20,218,218,193,193,211,196,197,218,216,218,218,218,20,22,218,216,218,218,218,218,218,62,61,218,218,218,218
1987,81,70,70,150,148,152,129,129,218,104,105,104,104,104,104,104,218,218,19,19,218,218,192,192,211,198,197,217,217,216,217,218,21,24,218,217,216,217,218,218,218,62,61,218,218,218,218
1988,83,70,70,148,146,151,128,128,218,104,105,104,104,104,104,104,218,218,19,19,218,218,189,189,211,195,194,216,217,216,218,218,20,23,217,217,216,218,218,218,218,62,61,218,218,218,218
1989,83,70,70,145,144,150,128,127,218,104,105,104,104,104,104,104,218,218,19,19,218,218,187,187,210,195,195,211,216,215,216,218,21,25,216,216,215,216,218,218,218,62,61,218,218,218,218
1990,81,70,70,128,127,132,116,114,218,84,86,85,85,85,85,85,218,218,17,17,218,218,180,180,10,194,194,212,214,211,218,218,11,11,215,215,211,218,218,218,218,61,61,218,218,218,218
1991,81,67,67,121,119,124,110,108,218,83,85,84,84,84,84,84,218,218,17,17,218,218,179,179,10,195,193,214,215,213,217,218,20,22,216,215,213,217,218,218,218,61,61,218,218,218,218
1992,76,60,64,111,106,110,98,96,218,82,84,83,83,83,83,83,218,218,12,12,218,218,169,169,10,193,191,212,207,211,217,218,20,20,216,208,211,217,218,218,218,42,42,218,218,218,218
1993,69,56,58,101,97,101,90,87,218,82,84,83,83,83,83,83,218,218,12,12,218,218,151,151,10,192,191,210,206,212,215,218,20,20,214,206,212,215,218,218,218,38,38,218,218,218,218
1994,69,54,53,93,90,93,84,81,218,82,83,83,83,83,83,83,218,218,12,12,218,218,137,137,10,188,188,202,193,202,213,218,20,20,215,197,203,213,218,218,218,38,38,218,218,218,218
1995,71,58,57,80,83,86,78,75,218,81,83,82,82,82,82,82,218,218,12,12,218,218,125,125,10,187,187,201,190,205,210,218,18,18,212,194,205,210,123,122,127,38,38,218,218,218,218
1996,69,56,55,77,80,82,76,73,218,81,82,82,82,82,82,82,218,218,13,13,218,218,116,116,47,185,187,204,190,201,211,218,17,17,210,193,201,211,121,120,125,38,38,218,218,218,218
1997,68,55,55,76,79,81,75,72,218,81,82,82,82,82,82,82,218,218,12,12,218,218,108,108,37,186,186,196,191,200,207,218,17,18,209,195,200,208,122,120,124,38,38,218,218,218,218
1998,69,54,54,75,78,80,74,71,218,81,82,82,82,82,82,82,208,208,12,12,218,218,106,106,31,182,181,202,187,198,210,218,15,16,210,197,199,210,121,122,126,38,38,218,218,218,218
1999,69,60,60,74,77,79,73,70,218,81,82,82,82,82,82,82,203,204,12,12,218,218,101,101,24,176,177,211,184,199,207,218,14,15,215,193,200,207,120,121,125,38,38,218,218,218,218
2000,63,61,61,64,68,69,63,60,160,78,79,79,79,79,79,79,174,174,12,12,72,66,93,93,22,173,173,207,191,196,207,218,13,14,215,202,198,207,126,123,127,38,38,218,218,218,218
2001,63,62,61,62,64,65,61,58,154,78,80,79,79,79,79,79,138,139,12,12,74,63,91,91,19,169,170,198,188,203,205,218,13,14,214,198,203,206,131,129,128,38,38,218,218,218,218
2002,70,70,70,59,61,62,58,55,161,78,81,79,79,79,79,79,111,111,11,11,70,63,83,83,16,167,167,210,189,205,211,218,12,12,217,198,206,212,129,124,127,38,38,218,218,218,218
2003,69,69,69,58,60,61,57,54,155,78,81,79,79,79,79,79,91,91,11,11,66,59,77,77,22,170,170,211,185,199,210,218,12,12,216,191,201,210,134,131,130,38,38,218,218,218,218
2004,71,71,71,57,58,60,56,53,155,78,81,79,79,79,79,79,72,72,11,11,65,57,74,74,19,154,158,213,190,198,208,218,11,11,216,197,199,208,134,128,130,38,38,218,218,131,132
2005,78,79,79,55,57,59,54,51,157,77,80,78,78,78,78,78,48,48,11,11,64,58,61,61,18,155,156,207,182,198,208,218,14,14,218,188,198,208,140,133,135,38,38,218,218,135,135
2006,79,80,80,50,54,56,51,47,157,77,78,78,78,78,78,78,49,50,13,13,64,57,61,61,19,152,152,207,176,191,209,57,17,17,217,187,192,210,138,133,138,37,37,218,218,131,131
2007,83,80,81,48,51,53,49,45,105,77,79,78,78,78,78,78,35,36,11,11,62,53,54,54,14,151,154,211,178,189,210,57,14,14,218,190,190,211,137,130,135,37,37,218,218,133,134
2008,83,78,79,45,47,50,46,42,97,77,79,78,78,78,78,78,28,28,11,11,63,53,49,49,16,143,144,212,178,192,211,56,16,16,216,191,196,211,141,139,141,37,37,218,218,136,136
2009,75,75,75,45,47,50,46,42,97,77,79,78,78,78,78,78,24,25,8,8,58,52,45,45,16,151,151,216,176,198,210,57,14,14,218,189,198,210,149,146,148,37,37,218,218,143,143
2010,58,58,58,43,45,48,45,41,59,77,79,78,78,78,78,78,19,19,6,6,58,48,44,44,17,134,135,215,176,201,212,56,11,11,218,184,203,212,144,137,141,37,37,7,7,133,134
2011,58,58,58,43,45,48,45,41,55,77,80,78,78,78,78,78,26,27,15,15,59,50,40,40,14,122,125,215,176,202,214,55,15,15,217,178,203,214,150,143,142,37,37,7,7,124,122
2012,58,58,58,39,41,42,41,37,53,76,79,77,77,77,77,77,21,21,8,8,56,49,39,39,16,119,118,210,175,204,207,52,11,11,210,175,204,207,155,149,149,35,35,7,7,108,107
2013,59,59,59,39,40,41,41,37,52,76,79,77,77,77,77,77,17,17,9,9,57,49,39,39,17,111,109,215,185,195,211,53,14,14,217,188,196,212,158,153,151,35,35,7,7,101,99
2014,70,58,58,39,38,40,41,37,52,76,78,77,77,77,77,77,17,17,7,7,58,51,37,37,17,118,118,217,181,205,214,52,13,13,217,184,205,214,151,148,146,35,35,8,8,103,105
2015,77,63,63,39,38,40,41,37,51,217,218,77,77,77,184,77,16,16,8,9,54,50,38,38,18,119,120,214,187,205,209,53,11,11,215,188,205,210,147,148,143,35,35,6,6,102,103
2016,78,62,62,38,38,39,41,37,53,217,218,218,218,218,218,218,21,21,16,17,54,50,38,38,15,114,115,211,189,202,212,52,16,16,211,189,204,212,145,149,146,35,35,4,4,90,92
2017,80,62,62,38,38,39,41,37,54,217,218,218,218,218,218,218,21,21,17,18,53,49,42,42,13,113,110,213,174,191,212,52,14,14,215,175,192,212,142,148,143,35,35,4,4,88,91
2018,59,60,60,38,38,39,41,37,54,217,218,218,218,218,218,218,37,37,32,33,55,52,42,42,49,109,107,214,180,203,208,52,27,27,217,180,203,208,140,150,147,35,35,5,5,84,88
2019,57,62,62,38,38,39,41,37,56,217,218,218,218,218,218,218,15,15,10,11,64,60,41,41,32,109,111,214,172,194,212,51,10,10,214,173,195,212,144,151,150,35,35,6,6,89,92
2020,88,65,65,38,38,39,41,37,102,218,218,218,218,218,218,218,17,17,11,11,69,68,42,42,33,103,102,217,180,200,213,52,10,10,218,181,200,213,152,156,154,35,35,4,4,83,85
2021,84,63,63,218,218,218,218,218,126,218,218,218,218,218,218,218,16,16,13,13,87,86,47,47,36,113,107,218,183,193,211,53,10,10,218,183,193,211,153,168,171,218,218,218,218,95,96
2022,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,58,65,60,66,218,218,65,65,161,218,218,210,175,199,212,218,57,64,210,175,199,212,218,218,218,218,218,218,218,218,218
2023,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218,218
